tested_positive 57 71
tested_negative 87 78
tested_positive 50 59
tested_negative 81 75
tested_positive 60 67
tested_negative 82 77
tested_positive 68 65
tested_negative 81 83
tested_positive 70 65
tested_negative 84 87
tested_positive 62 72
tested_negative 85 79
tested_positive 55 62
tested_negative 82 77
tested_positive 62 65
tested_negative 83 82
tested_positive 62 59
tested_negative 81 83
tested_positive 67 70
tested_negative 82 80
tested_positive 69 71
tested_negative 87 86
tested_positive 59 68
tested_negative 83 77
tested_positive 56 61
tested_negative 83 79
tested_positive 67 69
tested_negative 84 82
tested_positive 49 55
tested_negative 78 73
tested_positive 47 62
tested_negative 84 74
tested_positive 54 64
tested_negative 82 75
tested_positive 65 56
tested_negative 78 84
tested_positive 70 64
tested_negative 79 83
tested_positive 70 75
tested_negative 87 83
tested_positive 55 73
tested_negative 90 81
tested_positive 54 62
tested_negative 77 70
tested_positive 69 61
tested_negative 79 85
tested_positive 65 70
tested_negative 85 82
tested_positive 64 64
tested_negative 81 81
