1 46 59
3 52 49
2 55 41
1 53 66
3 39 49
2 57 31
1 63 65
3 49 44
2 34 38
1 49 58
3 42 47
2 52 37
1 48 61
3 48 48
2 55 38
1 52 65
3 45 51
2 62 37
1 55 56
3 41 46
2 51 44
1 49 53
3 42 47
2 52 40
1 47 67
3 45 36
2 47 38
1 53 64
3 47 53
2 46 27
1 57 58
3 42 49
2 45 36
1 47 65
3 50 48
2 52 35
1 51 61
3 44 48
2 46 32
1 50 56
3 42 40
2 46 41
1 56 65
3 44 48
2 55 40
1 53 55
3 38 44
2 45 35
1 47 65
3 53 43
2 50 41
1 48 61
3 51 43
2 50 43
1 45 57
3 44 43
2 51 38
1 54 59
3 39 51
2 51 31
1 44 52
3 46 44
2 46 40
1 50 64
3 57 46
2 39 37
1 47 65
3 41 37
2 59 42
1 55 66
3 45 53
2 58 32
1 49 54
3 42 44
2 48 39
