WARNING: empty or missing file
1 58 59
3 61 48
2 36 53
1 55 59
3 58 48
2 30 37
1 58 54
3 47 48
2 43 48
1 50 61
3 55 45
2 48 48
1 59 60
3 44 41
2 37 41
1 56 57
3 51 46
2 47 52
1 51 56
3 49 46
2 32 30
1 57 60
3 52 50
2 32 32
1 53 51
3 45 41
2 38 46
1 55 55
3 53 46
2 34 42
1 61 55
3 43 45
2 33 36
1 47 49
3 52 49
2 45 48
1 54 57
3 49 40
2 41 49
1 65 66
3 55 51
2 44 49
1 67 65
3 54 48
2 33 45
1 68 61
3 58 49
2 38 64
1 53 63
3 61 49
2 38 38
1 53 59
3 51 43
2 37 41
1 54 61
3 54 46
2 32 35
1 55 55
3 49 50
2 36 34
1 59 62
3 53 45
2 42 50
1 59 54
3 46 50
2 44 45
1 51 50
3 50 45
2 32 42
1 53 59
3 57 46
2 39 43
1 50 61
3 50 45
2 57 48
