1 100 70
3 36 100
2 75 56
1 100 100
3 78 88
2 88 78
1 100 100
3 89 67
2 60 86
1 92 100
3 90 82
2 71 71
1 100 86
3 91 77
2 69 90
1 80 89
3 100 83
2 70 78
1 100 85
3 82 90
2 63 71
1 100 85
3 75 86
2 73 80
1 100 100
3 63 71
2 80 73
1 100 100
3 77 91
2 91 77
1 100 71
3 78 78
2 75 86
1 91 83
3 70 100
2 78 64
1 92 92
3 90 100
2 88 78
1 100 90
3 67 89
2 78 64
1 85 100
3 44 50
2 50 36
1 100 80
3 100 77
2 58 100
1 92 79
3 70 88
2 50 50
1 100 100
3 80 89
2 90 82
1 100 80
3 45 71
2 64 54
1 100 100
3 100 100
2 100 100
1 100 78
3 82 75
2 58 78
1 100 100
3 89 80
2 67 80
1 100 100
3 64 88
2 89 67
1 100 91
3 82 100
2 89 80
1 88 78
3 75 86
2 79 79
