1 7 10
3 0 0
2 8 17
1 8 8
3 13 7
2 0 0
1 0 0
3 18 10
2 7 17
1 0 0
3 18 10
2 0 0
1 30 23
3 22 10
2 6 50
1 0 0
3 0 0
2 6 11
1 19 23
3 15 11
2 0 0
1 0 0
3 0 0
2 6 25
1 0 0
3 25 9
2 6 20
1 9 10
3 40 17
2 7 100
1 0 0
3 0 0
2 0 0
1 0 0
3 33 18
2 20 50
1 25 10
3 25 17
2 5 14
1 7 8
3 14 5
2 0 0
1 6 17
3 0 0
2 0 0
1 0 0
3 0 0
2 7 13
1 8 11
3 50 23
2 0 0
1 23 21
3 13 7
2 7 17
1 0 0
3 0 0
2 0 0
1 0 0
3 23 14
2 0 0
1 0 0
3 30 14
2 0 0
1 7 8
3 29 21
2 0 0
1 9 8
3 0 0
2 18 38
1 14 18
3 22 10
2 0 0
1 0 0
3 13 5
2 11 22
