1
2
3,$_XX,$_yy
4,0.37,0.24
5,0.07,0.06
6,0.330667784552,0.275134449288
7,0.434632780697,0.211336093963
8,0.365052213145,0.241338048836
9,0.434886377727,0.202045802414
10,0.193617694705,0.218672366706
11,0.439916336907,0.224675982229
12,0.434255495318,0.190152437239
13,0.495580261121,0.241691350585
14,0.224166691583,0.290310341035
15,0.436562313629,0.332302099274
16,0.408069517846,0.285899596239
17,0.34749009532,0.295342257181
18,0.29043593135,0.320548486163
19,0.170450403254,0.307199801168
20,0.311933783297,0.232781239399
21,0.487443278408,0.179091476696
22,0.282817889685,0.263783352041
23,0.431059216653,0.243678532238
24,0.417630427671,0.231145136343
25,0.360513181715,0.208595240116
26,0.273466741279,0.224728480835
27,0.393913235409,0.313414113098
28,0.318589991496,0.325491279313
29,0.38681278608,0.277796954377
30,0.301111498968,0.345679993164
31,0.368930872483,0.272458388754
32,0.380066559823,0.294536361106
33,0.407109669979,0.161590779182
34,0.350187572911,0.354593811347
35,0.391524041285,0.282490758325
36,0.359437173336,0.31046241781
37,0.266617257817,0.169917824852
38,0.455725018841,0.168078818636
39,0.448189611321,0.261549125557
40,0.361685220864,0.291346952825
41,0.330986198945,0.140744382094
42,0.381030898644,0.295500084349
43,0.350590328499,0.291085522673
44,0.386742574555,0.248449666449
45,0.229099189277,0.252729837594
46,0.357191161524,0.231286237945
47,0.345917178877,0.277930956525
48,0.403616083711,0.298152403437
49,0.201287082684,0.335405533186
50,0.402871774525,0.249221956653
51,0.212833822148,0.256331934372
52,0.406757852642,0.192001390445
53,0.422420011478,0.214628256326
54,0.391209400992,0.257155857571
55,0.554465998595,0.113385184248
56,0.411501867203,0.194777570949
57,0.435642931667,0.144014247585
58,0.43359347718,0.197991090491
59,0.237078716565,0.307878128259
60,0.248536638314,0.202551202736
61,0.493864447582,0.16327867212
62,0.268028019213,0.260458427047
63,0.269292493815,0.296761285162
64,0.253617093363,0.284964309309
65,0.378829055952,0.251313596059
66,0.576912327712,0.0273872288915
67,0.403626780633,0.268851681549
68,0.463508758731,0.22342451334
69,0.349167867473,0.15266627084
70,0.422865752891,0.255733294818
71,0.421547693103,0.237440365901
72,0.341855580336,0.258135251802
73,0.335113506688,0.32181886083
74,0.44964775906,0.174438696086
75,0.364095864538,0.241693858587
76,0.358665746038,0.177911240824
77,0.354715972842,0.189671477035
78,0.337436811144,0.362543722687
79,0.331102513348,0.231440050865
80,0.420577920349,0.239697438096
81,0.540502351601,0.235808709653
82,0.434367580849,0.280871379308
83,0.394823535659,0.250194644061
84,0.476286094897,0.222943817315
85,0.431607351838,0.193450010115
86,0.478121789955,0.150894940854
87,0.599950776753,0.000774564733671
88,0.36024610304,0.234362081654
89,0.445257691642,0.206880585919
90,0.347764559073,0.353645105856
91,0.344979828971,0.191395449284
92,0.367494242917,0.371414206558
93,0.394141622641,0.224258864001
94,0.343878952207,0.359954690301
95,0.446277224227,0.20837054363
96,0.498503205768,0.162410775646
